iter	Passed	Remaining
921	3802	321
922	3806	317
923	3812	313
924	3816	309
925	3820	305
926	3825	301
927	3831	297
928	3836	293
929	3840	289
930	3846	285
931	3850	280
932	3854	276
933	3860	272
934	3864	268
935	3868	264
936	3873	260
937	3878	256
938	3882	252
939	3886	248
940	3891	244
941	3896	239
942	3900	235
943	3904	231
944	3909	227
945	3913	223
946	3917	219
947	3922	215
948	3926	211
949	3931	206
950	3935	202
951	3940	198
952	3944	194
953	3948	190
954	3953	186
955	3957	182
956	3961	178
957	3965	173
958	3970	169
959	3974	165
960	3979	161
961	3982	157
962	3987	153
963	3991	149
964	3995	144
965	4000	140
966	4004	136
967	4008	132
968	4012	128
969	4017	124
970	4022	120
971	4026	115
972	4030	111
973	4036	107
974	4040	103
975	4044	99
976	4049	95
977	4054	91
978	4058	87
979	4063	82
980	4068	78
981	4072	74
982	4076	70
983	4081	66
984	4086	62
985	4090	58
986	4095	53
987	4100	49
988	4105	45
989	4109	41
990	4114	37
991	4118	33
992	4122	29
993	4127	24
994	4132	20
995	4136	16
996	4141	12
997	4146	8
998	4151	4
999	4157	0
